customerID,ChurnProbability,RiskSegment,tenure,Contract,MonthlyCharges,TechSupport,OnlineSecurity,PaymentMethod,RetentionAction
7216-EWTRS,0.9292200135214417,Very High,1,Month-to-month,100.8,No,No,Electronic check,Priority outreach + long-term contract incentive
5419-JPRRN,0.9173387299653791,Very High,1,Month-to-month,101.45,No,No,Electronic check,Priority outreach + long-term contract incentive
5178-LMXOP,0.91466742335661,Very High,1,Month-to-month,95.1,No,No,Electronic check,Priority outreach + long-term contract incentive
9300-AGZNL,0.91466742335661,Very High,1,Month-to-month,94.0,No,No,Electronic check,Priority outreach + long-term contract incentive
9497-QCMMS,0.91466742335661,Very High,1,Month-to-month,93.55,No,No,Electronic check,Priority outreach + long-term contract incentive
0107-YHINA,0.9113551952173127,Very High,1,Month-to-month,99.75,No,No,Electronic check,Priority outreach + long-term contract incentive
0295-PPHDO,0.8995216176005616,Very High,1,Month-to-month,95.45,No,No,Electronic check,Priority outreach + long-term contract incentive
4910-GMJOT,0.8995216176005616,Very High,1,Month-to-month,94.6,No,No,Electronic check,Priority outreach + long-term contract incentive
8149-RSOUN,0.8995216176005616,Very High,1,Month-to-month,93.85,No,No,Electronic check,Priority outreach + long-term contract incentive
6521-YYTYI,0.8936340385689386,Very High,1,Month-to-month,93.3,No,No,Electronic check,Priority outreach + long-term contract incentive
1069-XAIEM,0.8929666791296332,Very High,1,Month-to-month,85.05,No,No,Electronic check,Priority outreach + long-term contract incentive
3068-OMWZA,0.8897103797672723,Very High,1,Month-to-month,88.8,No,No,Electronic check,Priority outreach + long-term contract incentive
5192-EBGOV,0.8897103797672723,Very High,1,Month-to-month,85.7,No,No,Electronic check,Priority outreach + long-term contract incentive
4826-XTSOH,0.8897103797672723,Very High,1,Month-to-month,86.05,No,No,Electronic check,Priority outreach + long-term contract incentive
8775-LHDJH,0.8876410934564039,Very High,1,Month-to-month,90.6,No,No,Electronic check,Priority outreach + long-term contract incentive
3988-RQIXO,0.8821073329499798,Very High,1,Month-to-month,91.3,No,No,Electronic check,Priority outreach + long-term contract incentive
7181-BQYBV,0.8782915133971922,Very High,1,Month-to-month,102.45,No,Yes,Electronic check,Priority outreach + long-term contract incentive
3178-FESZO,0.8758093005509455,Very High,1,Month-to-month,100.25,No,No,Credit card (automatic),Priority outreach + long-term contract incentive
9282-IZGQK,0.8744976708615569,Very High,1,Month-to-month,85.0,No,No,Electronic check,Priority outreach + long-term contract incentive
9681-OXGVC,0.8726324979316271,Very High,5,Month-to-month,100.5,No,No,Electronic check,Priority outreach + long-term contract incentive
6023-YEBUP,0.8726324979316271,Very High,3,Month-to-month,100.95,No,No,Electronic check,Priority outreach + long-term contract incentive
8603-IJWDN,0.871543801022193,Very High,1,Month-to-month,86.6,No,No,Electronic check,Priority outreach + long-term contract incentive
4912-PIGUY,0.8707608065775873,Very High,1,Month-to-month,84.6,No,No,Electronic check,Priority outreach + long-term contract incentive
1415-YFWLT,0.8697984809344635,Very High,1,Month-to-month,89.3,No,No,Electronic check,Priority outreach + long-term contract incentive
8884-ADFVN,0.867932084265249,Very High,7,Month-to-month,101.95,No,No,Electronic check,Priority outreach + long-term contract incentive
6861-XWTWQ,0.867932084265249,Very High,7,Month-to-month,99.25,No,No,Electronic check,Priority outreach + long-term contract incentive
8580-AECUZ,0.865761953779531,Very High,1,Month-to-month,79.1,No,No,Electronic check,Priority outreach + long-term contract incentive
6567-HOOPW,0.865761953779531,Very High,1,Month-to-month,79.2,No,No,Electronic check,Priority outreach + long-term contract incentive
6230-BSUXY,0.8654686013969602,Very High,1,Month-to-month,85.0,No,No,Electronic check,Priority outreach + long-term contract incentive
0723-DRCLG,0.86340774805934,Very High,1,Month-to-month,74.45,No,No,Electronic check,Priority outreach + long-term contract incentive
1833-VGRUM,0.86340774805934,Very High,1,Month-to-month,74.2,No,No,Electronic check,Priority outreach + long-term contract incentive
8473-VUVJN,0.86340774805934,Very High,1,Month-to-month,73.65,No,No,Electronic check,Priority outreach + long-term contract incentive
0021-IKXGC,0.86340774805934,Very High,1,Month-to-month,72.1,No,No,Electronic check,Priority outreach + long-term contract incentive
6513-EECDB,0.86340774805934,Very High,1,Month-to-month,73.55,No,No,Electronic check,Priority outreach + long-term contract incentive
3551-HUAZH,0.86340774805934,Very High,1,Month-to-month,74.4,No,No,Electronic check,Priority outreach + long-term contract incentive
4102-OQUPX,0.86340774805934,Very High,1,Month-to-month,74.4,No,No,Electronic check,Priority outreach + long-term contract incentive
5240-IJOQT,0.86340774805934,Very High,1,Month-to-month,74.7,No,No,Electronic check,Priority outreach + long-term contract incentive
0970-ETWGE,0.8620539721200251,Very High,1,Month-to-month,89.55,No,No,Electronic check,Priority outreach + long-term contract incentive
3027-ZTDHO,0.8620539721200251,Very High,1,Month-to-month,89.9,No,No,Electronic check,Priority outreach + long-term contract incentive
2725-KXXWT,0.8620539721200251,Very High,1,Month-to-month,90.75,No,No,Electronic check,Priority outreach + long-term contract incentive
7274-RTAPZ,0.8620539721200251,Very High,1,Month-to-month,90.55,No,No,Electronic check,Priority outreach + long-term contract incentive
9725-SCPZG,0.8616343611518509,Very High,1,Month-to-month,90.85,No,No,Electronic check,Priority outreach + long-term contract incentive
1941-HOSAM,0.8616343611518509,Very High,1,Month-to-month,90.1,No,No,Electronic check,Priority outreach + long-term contract incentive
4988-IQIGL,0.8611037116503335,Very High,1,Month-to-month,75.35,No,No,Electronic check,Priority outreach + long-term contract incentive
8062-YBDOE,0.8578364507339907,Very High,1,Month-to-month,69.65,No,No,Electronic check,Priority outreach + long-term contract incentive
7206-GZCDC,0.8578364507339907,Very High,1,Month-to-month,69.25,No,No,Electronic check,Priority outreach + long-term contract incentive
5539-TMZLF,0.8578364507339907,Very High,1,Month-to-month,69.75,No,No,Electronic check,Priority outreach + long-term contract incentive
8000-REIQB,0.8578364507339907,Very High,1,Month-to-month,69.95,No,No,Electronic check,Priority outreach + long-term contract incentive
4871-JTKJF,0.8578364507339907,Very High,1,Month-to-month,69.65,No,No,Electronic check,Priority outreach + long-term contract incentive
2506-TNFCO,0.8578364507339907,Very High,1,Month-to-month,69.55,No,No,Electronic check,Priority outreach + long-term contract incentive
8375-DKEBR,0.8578364507339907,Very High,1,Month-to-month,69.6,No,No,Electronic check,Priority outreach + long-term contract incentive
2636-ALXXZ,0.8578364507339907,Very High,1,Month-to-month,69.6,No,No,Electronic check,Priority outreach + long-term contract incentive
5550-VFRLC,0.8578364507339907,Very High,1,Month-to-month,69.85,No,No,Electronic check,Priority outreach + long-term contract incentive
0679-IDSTG,0.8574061327810469,Very High,1,Month-to-month,69.25,No,No,Electronic check,Priority outreach + long-term contract incentive
7024-OHCCK,0.8568893510007267,Very High,2,Month-to-month,93.85,No,No,Electronic check,Priority outreach + long-term contract incentive
4424-TKOPW,0.8568893510007267,Very High,2,Month-to-month,93.85,No,No,Electronic check,Priority outreach + long-term contract incentive
2720-WGKHP,0.8568893510007267,Very High,2,Month-to-month,94.0,No,No,Electronic check,Priority outreach + long-term contract incentive
4822-RVYBB,0.8561605557761482,Very High,8,Month-to-month,100.6,No,No,Electronic check,Priority outreach + long-term contract incentive
0781-LKXBR,0.8561605557761482,Very High,9,Month-to-month,100.5,No,No,Electronic check,Priority outreach + long-term contract incentive
7493-TPUWZ,0.8546893896239098,Very High,1,Month-to-month,79.15,No,No,Electronic check,Priority outreach + long-term contract incentive
6894-LFHLY,0.8541792202857146,Very High,1,Month-to-month,75.75,No,No,Electronic check,Priority outreach + long-term contract incentive
9248-OJYKK,0.8541792202857146,Very High,1,Month-to-month,76.45,No,No,Electronic check,Priority outreach + long-term contract incentive
5567-WSELE,0.853982491971266,Very High,3,Month-to-month,94.6,No,No,Electronic check,Priority outreach + long-term contract incentive
